subregion,country,region,period.num,period,industry,site.id,site,unit,site.unit,BP.cal.median,lithics.total,debris,cores,retouched,retouch.freq,backed,backed.freq,bonetools,bonetool.freq,portability,NISP,large.herbivore,small.herbivore,carnivore,lg.herbivore.index,elevation,distcoast.modern,distcoast.contemp,longitude,latitude,macro.retouch.freq
N Central,France,Languedoc,2,Late Pleniglacial,Middle Magdalenian,3,Abeurador,10,Abeurador 10,17940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1863,110.13,127.32,1.6500,42.5833,NA
N Central,France,Languedoc,4,Holocene,Montclusien,3,Abeurador,5,Abeurador 5,9848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1863,110.13,115.13,1.6500,42.5833,NA
N Central,France,Languedoc,4,Holocene,Sauveterrien,3,Abeurador,7,Abeurador 7,9848,NA,NA,NA,173,NA,79,NA,NA,NA,NA,0,0,0,0,NA,1863,110.13,115.13,1.6500,42.5833,NA
N Central,France,Languedoc,3,End Glacial,Azilien,3,Abeurador,8,Abeurador 8,12242,NA,NA,NA,167,NA,95,NA,NA,NA,NA,0,0,0,0,NA,1863,110.13,121.50,1.6500,42.5833,NA
Southwest,Spain,Southwest,3,Late Pleniglacial,Epipaleolithic,122,Algarrobo,2-3,Algarrobo 2-3,NA,2823,NA,NA,152,0.054,53,0.019,4,0.001,0.375,NA,NA,NA,NA,NA,314,7.73,10.08,-1.2875,37.6375,0.035
Southwest,Spain,S&E Spain,1,LGM,Solutrean,73,Ambrosio,IV,Ambrosio IV,25788,9390,NA,NA,504,0.054,132,0.014,34,0.004,0.329,316,305,2110,11,0.126,969,64.14,68.89,-2.0991,37.8222,0.040
Northeast,Italy,NW Italy,3,End Glacial,Late epigravettian,51,Arene Candide,M1,Arene Candide M1,11577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,927,502,59,127,0.895,103,0.38,1.49,8.3264,44.1618,NA
Northeast,Italy,NW Italy,3,End Glacial,Late epigravettian,51,Arene Candide,M2,Arene Candide M2,12746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1915,1280,84,128,0.938,103,0.38,1.49,8.3264,44.1618,NA
Northeast,Italy,NW Italy,3,End Glacial,Late epigravettian,51,Arene Candide,M3,Arene Candide M3,13624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1623,1095,100,72,0.916,103,0.38,1.49,8.3264,44.1618,NA
Northeast,Italy,NW Italy,3,End Glacial,Late epigravettian,51,Arene Candide,M4,Arene Candide M4,13624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,822,594,38,41,0.940,103,0.38,1.49,8.3264,44.1618,NA
Northeast,Italy,NW Italy,3,End Glacial,Late epigravettian,51,Arene Candide,M5,Arene Candide M5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1451,655,110,72,0.856,103,0.38,1.49,8.3264,44.1618,NA
Northeast,Italy,NW Italy,1,LGM,Upper Paleolithic,51,Arene Candide,P1,Arene Candide P1,20323,61,40,0,21,0.344,9,0.148,NA,NA,NA,160,48,45,25,0.516,103,0.38,1.85,8.3264,44.1618,0.197
Northeast,Italy,NW Italy,1,LGM,Upper Paleolithic,51,Arene Candide,P10,Arene Candide P10,NA,21,15,0,6,0.286,1,0.048,NA,NA,NA,131,39,7,26,0.848,103,0.38,1.85,8.3264,44.1618,0.238
Northeast,Italy,NW Italy,1,LGM,Upper Paleolithic,51,Arene Candide,P11,Arene Candide P11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,14,1,31,0.933,103,0.38,1.85,8.3264,44.1618,NA
Northeast,Italy,NW Italy,1,LGM,Upper Paleolithic,51,Arene Candide,P12,Arene Candide P12,27676,5,3,0,2,0.400,0,0.000,NA,NA,NA,91,13,1,9,0.929,103,0.38,1.85,8.3264,44.1618,0.400
Northeast,Italy,NW Italy,1,LGM,Upper Paleolithic,51,Arene Candide,P2,Arene Candide P2,NA,72,47,0,25,0.347,11,0.153,NA,NA,NA,102,39,28,13,0.582,103,0.38,1.85,8.3264,44.1618,0.194
Northeast,Italy,NW Italy,1,LGM,Upper Paleolithic,51,Arene Candide,P3,Arene Candide P3,22868,69,54,0,15,0.217,8,0.116,NA,NA,NA,156,86,28,12,0.754,103,0.38,1.85,8.3264,44.1618,0.101
Northeast,Italy,NW Italy,1,LGM,Upper Paleolithic,51,Arene Candide,P4,Arene Candide P4,22740,523,439,0,84,0.161,56,0.107,NA,NA,NA,465,218,62,41,0.779,103,0.38,1.85,8.3264,44.1618,0.054
Northeast,Italy,NW Italy,1,LGM,Upper Paleolithic,51,Arene Candide,P5,Arene Candide P5,NA,306,258,1,47,0.154,19,0.062,NA,NA,NA,424,187,26,24,0.878,103,0.38,1.85,8.3264,44.1618,0.092
