subregion,country,region,period.num,period,industry,site.id,site,unit,site.unit,BP.cal.median,NISP,Rangifer,Equus,Mammuthus,Bos,Cervus,Alces.or.Megaloceros,Capra,Rupicapra,Saiga,Sus,Capreolus,Ungulate,Oryctolagus,Lepus,Lagomorph,Castor,Marmota,Vulpes.or.Alopex,Canis,Lynx,Felis,Panthera,Meles,Crocuta,Gulo,Lutra,Martes,Mustela,Ursus,Carnivore,Rodentia.small,Insectivora,Phocidae,bird,reptile,turtle,fish,terrestrial.shell,marine.shell,shell.sp,Ident.fraction,large.herbivore,,small.herbivore,carnivore,lg.herbivore.index,shannon,shannon.mammal,simpson,simpson.mammal,elevation,distcoast.modern,distcoast.contemp,latitude,longitude,invsimpson.mammal,invsimpson
Northeast,Italy,NW Italy,3,End Glacial,Late epigravettian,51,Arene Candide,M1,Arene Candide M1,11577,927,0,0,0,0,317,7,54,2,0,62,60,0,0,59,0,0,0,18,5,1,12,0,1,0,0,0,8,0,82,0,34,22,0,0,0,0,0,0,0,0,0.8,502,,59,127,0.8948,1.9697,1.9697,0.7772,0.7772,103,0.38,1.49,44.1618,8.3264,4.49,4.49
Northeast,Italy,NW Italy,3,End Glacial,Late epigravettian,51,Arene Candide,M2,Arene Candide M2,12746,1915,0,0,0,1,779,4,77,6,0,218,195,0,0,79,0,1,4,29,10,0,17,0,4,0,0,0,14,1,53,0,39,38,0,0,0,0,0,0,0,0,0.82,1280,,84,128,0.9384,1.7540,1.7540,0.7108,0.7108,103,0.38,1.49,44.1618,8.3264,3.46,3.46
Northeast,Italy,NW Italy,3,End Glacial,Late epigravettian,51,Arene Candide,M3,Arene Candide M3,13624,1623,0,0,0,0,697,3,54,7,0,178,156,0,0,100,0,0,0,11,4,2,21,0,1,0,2,0,7,0,24,0,16,37,0,0,0,0,0,0,0,0,0.81,1095,,100,72,0.9163,1.6304,1.6304,0.6800,0.6800,103,0.38,1.49,44.1618,8.3264,3.12,3.12
Northeast,Italy,NW Italy,3,End Glacial,Late epigravettian,51,Arene Candide,M4,Arene Candide M4,13624,822,0,0,0,0,321,0,29,3,0,146,95,0,0,36,0,0,2,7,6,3,4,0,3,0,0,0,4,3,11,0,8,12,0,0,0,0,0,0,0,0,0.84,594,,38,41,0.9399,1.6891,1.6891,0.7168,0.7168,103,0.38,1.49,44.1618,8.3264,3.53,3.53
Northeast,Italy,NW Italy,3,End Glacial,Late epigravettian,51,Arene Candide,M5,Arene Candide M5,NA,1451,0,0,0,4,354,3,140,4,0,83,67,0,0,106,0,0,4,14,10,16,6,0,2,0,0,0,6,5,13,0,3,6,0,0,0,0,0,0,0,0,0.58,655,,110,72,0.8562,1.8765,1.8765,0.7646,0.7646,103,0.38,1.49,44.1618,8.3264,4.25,4.25
Northeast,Italy,NW Italy,1,LGM,Upper Paleolithic,51,Arene Candide,P1,Arene Candide P1,20323,160,0,0,0,0,14,1,28,4,0,1,0,0,29,15,0,0,1,2,0,19,1,0,0,0,0,0,1,2,0,0,0,5,0,0,0,0,0,0,0,0,0.77,48,,45,25,0.5161,2.0412,2.0412,0.8373,0.8373,103,0.38,1.85,44.1618,8.3264,6.15,6.15
Northeast,Italy,NW Italy,1,LGM,Upper Paleolithic,51,Arene Candide,P10,Arene Candide P10,NA,131,0,0,0,2,5,0,30,0,0,1,1,0,0,7,0,0,0,1,1,2,3,4,0,0,0,0,11,3,1,0,0,1,0,0,0,0,0,0,0,0,0.56,39,,7,26,0.8478,2.0303,2.0303,0.7855,0.7855,103,0.38,1.85,44.1618,8.3264,4.66,4.66
Northeast,Italy,NW Italy,1,LGM,Upper Paleolithic,51,Arene Candide,P11,Arene Candide P11,NA,80,0,0,0,2,6,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0.58,14,,1,31,0.9333,1.4252,1.4252,0.6210,0.6210,103,0.38,1.85,44.1618,8.3264,2.64,2.64
Northeast,Italy,NW Italy,1,LGM,Upper Paleolithic,51,Arene Candide,P12,Arene Candide P12,27676,91,0,0,0,0,4,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.25,13,,1,9,0.9286,1.5524,1.5524,0.7524,0.7524,103,0.38,1.85,44.1618,8.3264,4.04,4.04
Northeast,Italy,NW Italy,1,LGM,Upper Paleolithic,51,Arene Candide,P13,Arene Candide P13,NA,42,0,0,0,0,3,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,5,3,0,1,0,0,0,0,0,0,0,0,0,0.45,6,,2,10,0.7500,1.9275,1.9275,0.8366,0.8366,103,0.38,1.85,44.1618,8.3264,6.12,6.12
Northeast,Italy,NW Italy,1,LGM,Upper Paleolithic,51,Arene Candide,P2,Arene Candide P2,NA,102,0,0,0,2,23,1,12,0,0,1,0,0,26,2,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0.78,39,,28,13,0.5821,1.7096,1.7096,0.7744,0.7744,103,0.38,1.85,44.1618,8.3264,4.43,4.43
Northeast,Italy,NW Italy,1,LGM,Upper Paleolithic,51,Arene Candide,P3,Arene Candide P3,22868,156,0,0,0,1,19,1,64,0,0,0,1,0,24,4,0,0,0,0,0,9,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.81,86,,28,12,0.7544,1.4625,1.4625,0.6764,0.6764,103,0.38,1.85,44.1618,8.3264,3.09,3.09
Northeast,Italy,NW Italy,1,LGM,Upper Paleolithic,51,Arene Candide,P4,Arene Candide P4,22740,465,0,0,0,3,11,1,200,0,0,0,3,0,41,19,0,0,2,4,0,14,0,0,0,0,0,0,2,21,0,0,0,1,0,0,0,0,0,0,0,0,0.69,218,,62,41,0.7786,1.3956,1.3956,0.5868,0.5868,103,0.38,1.85,44.1618,8.3264,2.42,2.42
Northeast,Italy,NW Italy,1,LGM,Upper Paleolithic,51,Arene Candide,P5,Arene Candide P5,NA,424,0,0,0,2,10,1,142,2,0,4,26,0,17,9,0,0,0,3,0,5,0,0,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0.56,187,,26,24,0.8779,1.5083,1.5083,0.6182,0.6182,103,0.38,1.85,44.1618,8.3264,2.62,2.62
Northeast,Italy,NW Italy,1,LGM,Upper Paleolithic,51,Arene Candide,P6,Arene Candide P6,NA,104,0,0,0,3,8,2,27,0,0,1,2,0,12,11,0,0,0,3,0,7,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0.85,43,,23,22,0.6515,2.0999,2.0999,0.8401,0.8401,103,0.38,1.85,44.1618,8.3264,6.26,6.26
