"years.b2k","NGRIP1.depth.m","d18O.NGRIP1.ppt","NGRIP2.depth.m","d18O.NGRIP2.ppt","Ca2.NGRIP2.ppb","GRIP.depth.m","d18O.GRIP.ppt","Ca2.GRIP.ppb","GISP2.depth.m","d18O.GISP2.ppt","X.Ca2.GISP2.ppb","MCE.yrs","years.BP"
20,7.35,-34.91,NA,NA,NA,5.43,-35.13,NA,NA,NA,NA,1,-30
40,14.15,-34.91,NA,NA,NA,13.6,-35.13,NA,NA,NA,NA,1,-10
40,14.15,-35.11,NA,NA,NA,13.6,-35.55,NA,NA,NA,NA,1,-10
60,20.4,-35.11,NA,NA,NA,21.43,-35.55,NA,NA,NA,NA,1,10
60,20.4,-34.65,NA,NA,NA,21.43,-35.16,NA,NA,NA,NA,1,10
80,26.1,-34.65,NA,NA,NA,28.23,-35.16,NA,NA,NA,NA,1,30
80,26.1,-34.53,NA,NA,NA,28.23,-35.59,NA,NA,NA,NA,1,30
100,31.53,-34.53,NA,NA,NA,34.68,-35.59,NA,NA,NA,NA,1,50
100,31.53,-35.29,NA,NA,NA,34.68,-35.24,NA,37.35,-35.16,9.45,1,50
120,36.83,-35.29,NA,NA,NA,40.93,-35.24,NA,43.97,-35.16,9.45,1,70
120,36.83,-35.02,NA,NA,NA,40.93,-35.3,NA,43.97,-34.7,7.84,1,70
140,42.05,-35.02,NA,NA,NA,46.8,-35.3,NA,50.19,-34.7,7.84,1,90
140,42.05,-35.02,NA,NA,NA,46.8,-34.79,NA,50.19,-35.23,9.92,1,90
160,46.95,-35.02,NA,NA,NA,52.4,-34.79,NA,56.1,-35.23,9.92,1,110
160,46.95,-35.78,NA,NA,NA,52.4,-35.14,NA,56.1,-35.23,8.88,1,110
180,51.75,-35.78,NA,NA,NA,57.83,-35.14,NA,61.85,-35.23,8.88,1,130
180,51.75,-35.16,NA,NA,NA,57.83,-35.39,NA,61.85,-35,7.93,1,130
200,56.33,-35.16,NA,NA,NA,63.08,-35.39,NA,67.47,-35,7.93,1,150
200,56.33,-35.61,NA,NA,NA,63.08,-34.93,NA,67.47,-35.01,10.2,1,150
220,60.83,-35.61,NA,NA,NA,68.23,-34.93,NA,73.02,-35.01,10.2,1,170
220,60.83,-35.12,NA,NA,NA,68.23,-35.56,NA,73.02,-34.99,8.64,1,170
240,65.13,-35.12,NA,NA,NA,73.23,-35.56,NA,78.31,-34.99,8.64,1,190
240,65.13,-35.79,NA,NA,NA,73.23,-35.11,NA,78.31,-35.46,8.54,1,190
260,69.35,-35.79,NA,NA,NA,78.45,-35.11,NA,83.88,-35.46,8.54,1,210
260,69.35,-35.82,NA,NA,NA,78.45,-35.11,NA,83.88,-35.24,9.17,1,210
280,73.6,-35.82,NA,NA,NA,83.5,-35.11,NA,89.19,-35.24,9.17,1,230
280,73.6,-35.36,NA,NA,NA,83.5,-35.41,NA,89.19,-35.3,7.81,1,230
300,77.6,-35.36,NA,NA,NA,88.15,-35.41,NA,94.06,-35.3,7.81,1,250
300,77.6,-36.05,NA,NA,NA,88.15,-35.64,NA,94.06,-35.37,7.07,1,250
320,81.75,-36.05,NA,NA,NA,92.98,-35.64,NA,99.26,-35.37,7.07,1,270
320,81.75,-35.39,NA,NA,NA,92.98,-34.89,NA,99.26,-34.76,8.09,1,270
340,85.65,-35.39,NA,NA,NA,97.75,-34.89,NA,104.49,-34.76,8.09,1,290
340,85.65,-36.14,NA,NA,NA,97.75,-35.43,NA,104.49,-35.07,7.81,1,290
360,89.55,-36.14,NA,NA,NA,102.55,-35.43,NA,109.37,-35.07,7.81,1,310
360,89.55,-35.33,NA,NA,NA,102.55,-35.19,NA,109.37,-35.36,7.46,1,310
380,93.48,-35.33,NA,NA,NA,106.98,-35.19,NA,114.22,-35.36,7.46,1,330
380,93.48,-35.35,NA,NA,NA,106.98,-35.29,NA,114.22,-34.96,9.02,1,330
400,97.43,-35.35,NA,NA,NA,111.5,-35.29,NA,119.16,-34.96,9.02,1,350
400,97.43,-35.72,NA,NA,NA,111.5,-34.97,NA,119.16,-35.06,9.04,1,350
420,101.4,-35.72,NA,NA,NA,116.15,-34.97,NA,124.15,-35.06,9.04,1,370
420,101.4,-35.03,NA,NA,NA,116.15,-35.17,NA,124.15,-35.5,8.57,1,370
440,105.28,-35.03,NA,NA,NA,120.53,-35.17,NA,128.83,-35.5,8.57,1,390
440,105.28,-35.61,NA,NA,NA,120.53,-35.08,NA,128.83,-34.88,6.07,1,390
460,109.1,-35.61,NA,NA,NA,125.1,-35.08,NA,133.67,-34.88,6.07,1,410
460,109.1,-35.83,NA,NA,NA,125.1,-35.02,NA,133.67,-35.05,7.79,1,410
480,112.88,-35.83,NA,NA,NA,129.58,-35.02,NA,138.41,-35.05,7.79,1,430
480,112.88,-34.93,NA,NA,NA,129.58,-34.99,NA,138.41,-35.09,7.47,1,430
500,116.7,-34.93,NA,NA,NA,134.25,-34.99,NA,143.34,-35.09,7.47,1,450
500,116.7,-35.07,NA,NA,NA,134.25,-35.56,NA,143.34,-35.17,8.44,1,450
520,120.43,-35.07,NA,NA,NA,138.83,-35.56,NA,148.15,-35.17,8.44,1,470
520,120.43,-35.87,NA,NA,NA,138.83,-35.3,NA,148.15,-35.24,7.19,1,470
540,124.05,-35.87,NA,NA,NA,143.13,-35.3,NA,152.68,-35.24,7.19,1,490
540,124.05,-35.13,NA,NA,NA,143.13,-34.87,NA,152.68,-34.85,6.24,1,490
560,128.18,-35.13,NA,NA,NA,147.63,-34.87,NA,157.47,-34.85,6.24,1,510
560,128.18,-34.98,NA,NA,NA,147.63,-35.71,NA,157.47,-34.98,4.82,1,510
580,131.88,-34.98,NA,NA,NA,152.3,-35.71,NA,162.43,-34.98,4.82,1,530
