subregion,country,region,period.num,period,industry,site,unit,site.unit,BP.cal.median,C14.mean,C14.SD,C14.CV,calib.curve,sample.id,longitude,latitude,material,delta 13,method and id,citation,source,comments
N Central,France,Languedoc,2,Late Pleniglacial,Middle Magdalenian,Abeurador,10,Abeurador 10,17940,14735,80,0.0054,intcal13,NA,1.6500,42.5833,NA,NA,NA,NA,QSR paper,NA
N Central,France,Languedoc,4,Holocene,Montclusien,Abeurador,5,Abeurador 5,9848,8740,90,0.0103,intcal13,MC-2144,1.6500,42.5833,NA,NA,NA,NA,"QSR paper, PANCEA",NA
N Central,France,Languedoc-Roussillon,3,End Glacial,Sauveterrian,Abeurador,7,Abeurador 7,11175,9755,110,0.0113,intcal13,AA-13083,1.6500,42.5833,NA,NA,NA,NA,PANCEA,NA
N Central,France,Languedoc,3,End Glacial,Sauveterrien,Abeurador,7,Abeurador 7,11352,9845,115,0.0117,intcal13,AA-13084,1.6500,42.5833,NA,NA,NA,NA,"QSR paper, PANCEA",NA
N Central,France,Languedoc,3,End Glacial,Azilien,Abeurador,8,Abeurador 8,12242,10480,100,0.0095,intcal13,Gif-6746,1.6500,42.5833,charcoal,NA,"Conv 14C, 5360",Hentz C. & Thiebault C. 1998. Quaternary Research 56-68.,"QSR paper, PANCEA, Leuven",NA
N Central,France,NA,3,End Glacial,NA,Abeurador,F10B,Abeurador F10B,12343,10580,115,0.0109,intcal13,LYON-949,1.6500,42.5833,grains,?,"AMS, 3460",NA,Leuven,NA
N Central,France,NA,3,End Glacial,NA,Abeurador,F8B,Abeurador F8B,12986,11090,90,0.0081,intcal13,"LYON-951, Ky-951",1.6500,42.5833,grains,?,"AMS, 3462",NA,Leuven,NA
N Central,France,NA,3,End Glacial,NA,Abeurador,F9A,Abeurador F9A,12388,10580,85,0.008,intcal13,LYON-950,1.6500,42.5833,grains,?,"AMS, 3461",NA,Leuven,NA
Southeast,Italy,NA,2,Late Pleniglacial,Final Epipalaeolithic,Acqua Fitusa,Upper level 2-1,Acqua Fitusa Upper level 2-1,16577,13760,330,0.024,intcal13,F-26,13.5667,37.3167,NA,NA,"Conv 14C, 6529",Lo Vetro D. e.a. 1999-2000. Rivista di Scienze Preistoriche 50: 103-132.,Leuven,NA
Southeast,Italy,NA,2,Late Pleniglacial,Epigravettian Palaeolithic rock art,Addaura,NA,Addaura,15427,12890,60,0.0047,intcal13,KIA-36055,13.3481,38.1889,collagen of the human remains,?,"AMS, 5017",Mannino M. e.a. 2011. JAS 38: 3094-3100.,Leuven,NA
N Central,Spain,NE Spain,3,End Glacial,Mesolรญtico de Muescas y Denticulados,Agut,4 / 7a,Agut 4.7a,10406,9185,60,0.0065,intcal13,OxA10049,1.4129,41.3141,NA,NA,NA,Vaquero et al. 2002,O Garcia,NA
N Central,Spain,NE Spain,3,End Glacial,Mesolรญtico de Muescas y Denticulados,Agut,4 / 7a,Agut 4.7a,11036,9660,110,0.0114,intcal13,OxA10064,1.4129,41.3141,NA,NA,NA,Vaquero et al. 2006,O Garcia,NA
N Central,Spain,NE Spain,3,End Glacial,"Mesolithic, flake industry",Agut,4.7c,Agut 4.7c,11655,10085,60,0.0059,intcal13,OxA-10050,1.4129,41.3141,charcoal,?,"AMS, 2066","Vaquero M. et al., 2002. JAS 29: 953-958.",Leuven,NA
N Central,Spain,NE Spain,3,End Glacial,"Mesolithic, flake industry",Agut,4.7c,Agut 4.7c,11452,9895,60,0.0061,intcal13,OxA-10051,1.4129,41.3141,charcoal,?,"AMS, 2067","Vaquero M. et al., 2002. JAS 29: 953-958.",Leuven,NA
N Central,Spain,NE Spain,3,End Glacial,"Mesolithic, flake industry",Agut,4.7c,Agut 4.7c,11644,10060,65,0.0065,intcal13,OxA-10074,1.4129,41.3141,Charcoal,?,"AMS, 2068","Vaquero M. et al., 2002. JAS 29: 953-958.",Leuven,NA
Northeast,Italy,NA,4,Holocene,Mesolithic,Aisone,NA,Aisone,8174,7345,35,0.0048,intcal13,Lyon4495,7.2228,44.3135,NA,NA,NA,Banadora,O Garcia,NA
Northeast,Italy,NA,4,Holocene,Mesolithic,Aisone,NA,Aisone,8034,7185,35,0.0049,intcal13,Lyon4492,7.2228,44.3135,NA,NA,NA,Banadora,O Garcia,NA
Northeast,Italy,NA,4,Holocene,Mesolithic,Aisone,NA,Aisone,7707,6850,35,0.0051,intcal13,Lyon4494,7.2228,44.3135,NA,NA,NA,Banadora,O Garcia,NA
N Central,France,NA,4,Holocene,NA,Aldene,Gallery DES PAS,Aldene Gallery DES PAS,9050,8200,130,0.0159,intcal13,MC482,2.7158,43.3258,NA,NA,NA,Shennan & Steele 2000,O Garcia,NA
